Comparison,log2FoldChange,padj,Gene
SF vs NC,-1.407174185,0.007495894,FZD4
SF vs NC,-1.40630039,0.004684159,TUSC3
SF vs NC,-1.404245147,0.015177893,LOC415852
SF vs NC,-1.40275002,0.027467446,AK1
SF vs NC,-1.400685792,0.023643193,LOC107051819
SF vs NC,-1.400577809,0.006423527,LOC107053809
SF vs NC,-1.398986882,0.002672322,J6367_mgp12
SF vs NC,-1.39807475,0.037978362,RPL36A
SF vs NC,-1.397611867,0.015482642,ANKRD31
SF vs NC,-1.395976893,0.023186854,LOC124417493
SF vs NC,-1.394660915,0.006284926,CERS6
SF vs NC,-1.39464152,0.003080259,LOC124417133
SF vs NC,-1.391118478,0.000327535,CCBE1
SF vs NC,-1.388990462,0.010207665,LOC121106622
SF vs NC,-1.385906602,0.000236162,RECK
SF vs NC,-1.385356778,0.008958418,TMPRSS7
SF vs NC,-1.385333149,0.002402555,J6367_mgp04
SF vs NC,-1.384077,0.017148633,MICU3
SF vs NC,-1.381805867,0.000567462,KLHL38
SF vs NC,-1.379705351,0.00021742,NRSN1
SF vs NC,-1.378317949,0.006370758,LOC107051964
SF vs NC,-1.378250275,0.020903825,C17orf58
SF vs NC,-1.37610182,0.008468789,LOC124418037
SF vs NC,-1.375704425,0.029578575,CDKL5
SF vs NC,-1.372305054,0.000177039,KCNB1
SF vs NC,-1.372188862,0.028149433,HMGCS2
SF vs NC,-1.372187873,0.019183239,CYP1B1
SF vs NC,-1.369777432,0.020246818,NRBP2
SF vs NC,-1.369739914,0.004773662,PITX3
SF vs NC,-1.368809085,2.75E-05,LRP11
SF vs NC,-1.367623562,0.024547598,LOC112533519
SF vs NC,-1.36102971,0.002672668,LOC112532999
SF vs NC,-1.360255303,0.003683041,DNAH9
SF vs NC,-1.358831301,0.017205249,LOC121108083
SF vs NC,-1.357563573,0.004013246,ADCY6
SF vs NC,-1.354959913,0.001573877,KIFC2
SF vs NC,-1.352534425,0.004313571,LOC100857497
SF vs NC,-1.352422242,0.004083776,LIPH
SF vs NC,-1.34790737,0.025000581,HACD1
SF vs NC,-1.347611931,0.013144497,ABCD2
SF vs NC,-1.347536234,0.04194107,OVOB
SF vs NC,-1.347212201,0.047268087,MLN
SF vs NC,-1.344620112,0.025606227,LDLRAD3
SF vs NC,-1.341060794,0.010773095,ANK2
SF vs NC,-1.341034513,0.038014726,SLC4A11
SF vs NC,-1.340949861,0.002067783,LOC101749597
SF vs NC,-1.340039887,0.005030719,PPP4R4
SF vs NC,-1.339831348,0.027799391,CA13
SF vs NC,-1.337076259,0.030357287,LOC124417153
SF vs NC,-1.334068844,0.034335549,TMEM119
SF vs NC,-1.333816205,0.019176503,LOC112531631
SF vs NC,-1.332983186,0.013026806,LOC107052556
SF vs NC,-1.332754997,0.008637059,TTN
SF vs NC,-1.330805008,0.000141362,CAB39L
SF vs NC,-1.329324089,0.034091215,DPEP2
SF vs NC,-1.326116434,0.042526728,GFRA1
SF vs NC,-1.324534529,0.025009925,PTPN14
SF vs NC,-1.322499575,0.028813027,ASIC5
SF vs NC,-1.320971956,0.022506272,ANKRD50
SF vs NC,-1.31932631,0.020903825,LOC770271
SF vs NC,-1.318335399,0.0414712,LRRC70
SF vs NC,-1.315408987,0.005483627,CFL2
SF vs NC,-1.313300819,0.006021147,J6367_mgp02
SF vs NC,-1.30944417,0.026152103,TBX19
SF vs NC,-1.309188059,0.000537801,LOC112532793
SF vs NC,-1.309120597,0.002419675,SLC16A12
SF vs NC,-1.308220514,0.041964619,ENHO
SF vs NC,-1.307990926,0.00346295,LOC107049570
SF vs NC,-1.307401237,0.020791803,TTC28
SF vs NC,-1.306603296,0.03066315,LOC101752086
SF vs NC,-1.305766546,0.025805493,IMPG2
SF vs NC,-1.304494171,0.023010358,LOC112533164
SF vs NC,-1.301618591,0.036205602,TRPM6
SF vs NC,-1.299615473,0.004153342,GAL3ST1
SF vs NC,-1.299316112,0.046443302,ADAMTS17
SF vs NC,-1.298431101,0.003551735,CTSO
